trong	E	B-l	B-l
thẳng	A	I-a	I-a
không	R	B-qt	B-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giao	N	I-ti	I-ti
thông	N	I-ti	I-ti
dang	V	B-if4	B-if4
ngang	A	I-if4	I-if4
hai	M	I-if4	I-if4
tay	N	I-if4	I-if4
,	,	O	O
xe	N	O	O
ở	E	B-if1	B-if1
phía	N	I-if1	I-if1
sau	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
giao	N	O	O
thông	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
đi	V	I-qt	I-qt
tiếp	R	I-qt	I-qt
không	R	I-qt	I-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giao	N	I-ti	I-ti
thông	N	I-ti	I-ti
dang	V	B-if4	B-if4
ngang	A	I-if4	I-if4
một	M	I-if4	I-if4
tay	N	I-if4	I-if4
,	,	O	O
xe	N	O	O
ở	E	B-if1	B-if1
phía	N	I-if1	I-if1
trước	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
giao	N	O	O
thông	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
rẽ	V	B-a	B-a
phải	V	I-a	I-a
không	R	B-qt	B-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giao	N	I-ti	I-ti
thông	N	I-ti	I-ti
dang	V	B-if4	B-if4
ngang	A	I-if4	I-if4
một	M	I-if4	I-if4
tay	N	I-if4	I-if4
,	,	O	O
xe	N	O	O
ở	E	B-if1	B-if1
phía	N	I-if1	I-if1
trước	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
giao	N	O	O
thông	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
đi	V	B-a	B-a
thẳng	A	I-a	I-a
không	R	B-qt	B-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	A	I-if4	I-if4
phải	A	I-if4	I-if4
về	E	I-if4	I-if4
phía	N	I-if4	I-if4
trước	N	I-if4	I-if4
thì	C	O	O
các	L	O	O
xe	N	O	O
phải	V	B-qt	B-qt
đi	V	I-qt	I-qt
như	X	I-qt	I-qt
thế	X	I-qt	I-qt
nào	X	I-qt	I-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giao	N	I-ti	I-ti
thông	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	A	I-if4	I-if4
phải	A	I-if4	I-if4
về	E	I-if4	I-if4
phía	N	I-if4	I-if4
trước	N	I-if4	I-if4
,	,	O	O
xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
phía	N	B-if1	B-if1
sau	N	I-if1	I-if1
lưng	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
giao	N	O	O
thông	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
đi	V	I-qt	I-qt
hay	C	O	O
không	R	B-qt	B-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	A	I-if4	I-if4
phải	A	I-if4	I-if4
về	E	I-if4	I-if4
phía	N	I-if4	I-if4
trước	N	I-if4	I-if4
,	,	O	O
xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
ở	E	B-if1	B-if1
sau	N	I-if1	I-if1
lưng	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
có	V	B-qt	B-qt
được	R	I-qt	I-qt
rẽ	V	B-a	B-a
trái	N	I-a	I-a
không	R	B-qt	B-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giao	N	I-ti	I-ti
thông	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	A	I-if4	I-if4
phải	A	I-if4	I-if4
về	E	I-if4	I-if4
phía	N	I-if4	I-if4
trước	N	I-if4	I-if4
,	,	O	O
xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
ở	E	B-if1	B-if1
sau	N	I-if1	I-if1
lưng	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
giao	N	O	O
thông	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
rẽ	V	B-a	B-a
phải	V	I-a	I-a
không	R	B-qt	B-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	A	I-if4	I-if4
phải	A	I-if4	I-if4
về	E	I-if4	I-if4
phía	N	I-if4	I-if4
trước	N	I-if4	I-if4
xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
ở	E	B-if1	B-if1
bên	N	I-if1	I-if1
phải	V	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
có	V	B-qt	B-qt
được	R	I-qt	I-qt
rẽ	V	B-a	B-a
phải	V	I-a	I-a
không	R	B-qt	B-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giao	N	I-ti	I-ti
thông	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	A	I-if4	I-if4
phải	A	I-if4	I-if4
về	E	I-if4	I-if4
phía	N	I-if4	I-if4
trước	N	I-if4	I-if4
xe	N	O	O
ở	E	B-if1	B-if1
bên	N	I-if1	I-if1
trái	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
giao	N	O	O
thông	N	O	O
được	R	B-qt	O
đi	V	I-qt	O
hay	C	O	O
không	R	B-qt	B-qt

cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	A	I-if4	I-if4
phải	A	I-if4	I-if4
về	E	I-if4	I-if4
phía	N	I-if4	I-if4
trước	N	I-if4	I-if4
thì	C	O	O
xe	N	O	O
ở	E	B-if1	B-if1
bên	N	I-if1	I-if1
trái	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
có	V	B-qt	B-qt
phải	V	I-qt	I-qt
dừng	V	B-a	B-a
lại	R	I-a	I-a
không	R	B-qt	B-qt

xe	N	B-tv	B-tv
máy	N	I-tv	I-tv
ở	E	B-if1	B-if1
phía	N	I-if1	I-if1
trước	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
,	,	O	O
trường	N	O	O
hợp	N	O	O
cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	A	I-if4	I-if4
phải	A	I-if4	I-if4
về	E	I-if4	I-if4
phía	N	I-if4	I-if4
trước	N	I-if4	I-if4
thì	C	O	O
xe	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
đi	V	B-a	B-a
thẳng	A	I-a	I-a
không	R	B-qt	B-qt

ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
ở	E	B-if1	B-if1
phía	N	I-if1	I-if1
trước	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
,	,	O	O
trường	N	O	O
hợp	N	O	O
cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	A	I-if4	I-if4
phải	A	I-if4	I-if4
về	E	I-if4	I-if4
phía	N	I-if4	I-if4
trước	N	I-if4	I-if4
thì	C	O	O
xe	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
rẽ	V	B-a	B-a
trái	N	I-a	I-a
không	R	B-qt	B-qt

ô	N	B-tv	B-tv
tô	N	I-tv	I-tv
ở	E	B-if1	B-if1
phía	N	I-if1	I-if1
trước	N	I-if1	I-if1
cảnh	N	I-if1	I-if1
sát	N	I-if1	I-if1
,	,	O	O
trường	N	O	O
hợp	N	O	O
cảnh	N	B-ti	B-ti
sát	N	I-ti	I-ti
giơ	V	B-if4	B-if4
tay	A	I-if4	I-if4
phải	A	I-if4	I-if4
về	E	I-if4	I-if4
phía	N	I-if4	I-if4
trước	N	I-if4	I-if4
thì	C	O	O
xe	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
rẽ	V	B-a	B-a
phải	V	I-a	I-a
không	R	B-qt	B-qt

